time_ms,ch0
103,1447
615,1449
1126,1446
1611,1446
2123,1446
2634,1446
3145,1438
3656,1436
4141,1438
4653,1447
5164,1447
5675,1446
6160,1443
6671,1441
7183,1446
7694,1451
8179,1447
8690,1449
9202,1447
9713,1446
10198,1446
10709,1442
11220,1442
11731,1442
12217,1439
12728,1439
13239,1436
13750,1436
14236,1440
14747,1448
15258,1447
15769,1443
16280,1446
16766,1447
17277,1447
17788,1447
18299,1451
18785,1446
19296,1446
19807,1446
20318,1441
20804,1446
21315,1446
21826,1446
22337,1439
22823,1440
23334,1437
23845,1439
24356,1442
24842,1442
25353,1446
25864,1446
26375,1450
26862,1450
27373,1446
27884,1446
28395,1449
28881,1446
29392,1448
29903,1441
30414,1446
30900,1442
31411,1442
31922,1442
32433,1441
32919,1436
33430,1441
33941,1433
