time_ms,ch0
104,1142
615,1138
1126,1133
1612,1137
2123,1137
2634,1142
3145,1142
3631,1142
4142,1137
4653,1137
5164,1129
5675,1127
6161,1127
6672,1132
7183,1129
7694,1131
8179,1131
8690,1130
9202,1128
9687,1122
10198,1117
10709,1118
11220,1127
11706,1127
12217,1137
12728,1140
13239,1139
13725,1141
14236,1148
14747,1143
15258,1141
15744,1139
16255,1137
16766,1137
17277,1130
17762,1123
18274,1129
18785,1133
19296,1129
19781,1131
20292,1137
20803,1141
21314,1138
21800,1137
22311,1137
22822,1132
23333,1129
23819,1134
24330,1137
24841,1137
25327,1137
25838,1133
26349,1137
26861,1124
27347,1127
27858,1117
28369,1119
28880,1118
29366,1120
29877,1122
30388,1118
30899,1112
31385,1107
31896,1112
32407,1117
32918,1118
33404,1110
33915,1110
34426,1110
34937,1112
35422,1120
35933,1117
36444,1113
36955,1117
37441,1120
37952,1110
38463,1110
38974,1113
39460,1119
39971,1119
40482,1117
40993,1111
41479,1112
41990,1116
42501,1118
43012,1117
43498,1111
44009,1112
44520,1112
45031,1111
45516,1104
46027,1102
46538,1107
47050,1107
47535,1110
48046,1114
48557,1127
49068,1127
49554,1119
50065,1119
50576,1114
51087,1118
51573,1110
52084,1121
52595,1122
53106,1119
53592,1113
54105,1117
54616,1108
55101,1108
55613,1107
56124,1102
