time_ms,ch0
103,865
614,848
1125,845
1611,848
2121,865
2632,866
3143,868
3628,868
4139,868
4650,868
5135,868
5646,868
6157,868
6668,843
7153,798
7664,801
8174,800
8660,798
9171,794
9681,794
10192,795
10678,800
11188,800
11699,803
12184,814
12695,814
13206,815
13717,818
14202,859
14713,854
15224,856
15709,853
16220,852
16731,852
17241,851
17727,852
18238,852
18748,851
19234,851
19744,849
20255,849
20766,849
21251,849
21762,849
22273,849
22758,848
23269,850
23780,849
24291,850
24776,848
25287,840
25797,839
26283,836
26795,837
27306,835
27817,835
28302,835
28813,836
29324,835
29809,836
