time_s,temp_C,pwm_pct,error
260,22.787,100.0,5.787
261,22.035,100.0,5.035
262,22.787,100.0,5.787
263,22.496,100.0,5.496
264,29.013,100.0,12.013
265,20.185,93.8,3.185
266,20.274,95.1,3.274
267,20.274,95.8,3.274
268,20.274,96.4,3.274
269,20.274,97.1,3.274
270,20.274,97.7,3.274
271,20.274,98.4,3.274
272,20.185,98.3,3.185
273,22.902,100.0,5.902
274,22.035,100.0,5.035
275,22.249,100.0,5.249
276,21.427,100.0,4.427
277,22.249,100.0,5.249
278,22.320,100.0,5.320
279,24.184,100.0,7.184
280,21.245,100.0,4.245
281,21.154,100.0,4.154
282,20.748,100.0,3.748
283,21.336,100.0,4.336
284,20.972,100.0,3.972
285,20.972,100.0,3.972
286,21.154,100.0,4.154
287,21.062,100.0,4.062
288,20.095,98.2,3.095
289,20.817,100.0,3.817
290,20.362,100.0,3.362
291,19.655,95.2,2.655
292,20.678,100.0,3.678
293,20.538,100.0,3.538
294,20.185,100.0,3.185
295,19.918,97.9,2.918
296,20.451,100.0,3.451
297,20.451,100.0,3.451
298,20.817,100.0,3.817
299,20.451,100.0,3.451
300,20.817,100.0,3.817
301,20.817,100.0,3.817
302,20.748,100.0,3.748
303,20.608,100.0,3.608
304,20.538,100.0,3.538
305,20.678,100.0,3.678
306,20.608,100.0,3.608
307,21.518,100.0,4.518
308,20.538,100.0,3.538
309,20.538,100.0,3.538
310,20.817,100.0,3.817
311,21.518,100.0,4.518
312,20.678,100.0,3.678
313,20.608,100.0,3.608
314,20.451,100.0,3.451
315,20.608,100.0,3.608
316,21.154,100.0,4.154
317,20.678,100.0,3.678
318,20.972,100.0,3.972
319,21.608,100.0,4.608
320,20.817,100.0,3.817
321,20.748,100.0,3.748
322,20.538,100.0,3.538
323,20.748,100.0,3.748
324,20.451,100.0,3.451
325,20.886,100.0,3.886
326,21.154,100.0,4.154
327,20.678,100.0,3.678
328,20.748,100.0,3.748
329,21.154,100.0,4.154
330,20.608,100.0,3.608
331,20.678,100.0,3.678
332,20.362,100.0,3.362
333,21.427,100.0,4.427
334,20.678,100.0,3.678
335,20.886,100.0,3.886
336,20.608,100.0,3.608
337,20.538,100.0,3.538
338,21.154,100.0,4.154
339,20.817,100.0,3.817
340,20.748,100.0,3.748
341,20.185,100.0,3.185
342,21.154,100.0,4.154
343,20.748,100.0,3.748
344,20.538,100.0,3.538
345,21.154,100.0,4.154
346,20.451,100.0,3.451
347,21.062,100.0,4.062
348,21.336,100.0,4.336
349,21.062,100.0,4.062
350,20.678,100.0,3.678
351,20.817,100.0,3.817
352,20.817,100.0,3.817
353,20.538,100.0,3.538
354,20.678,100.0,3.678
355,20.886,100.0,3.886
356,20.748,100.0,3.748
357,20.817,100.0,3.817
358,20.886,100.0,3.886
359,20.608,100.0,3.608
360,21.154,100.0,4.154
361,21.154,100.0,4.154
362,20.678,100.0,3.678
363,20.451,100.0,3.451
364,20.972,100.0,3.972
365,20.817,100.0,3.817
366,20.886,100.0,3.886
367,20.678,100.0,3.678
368,20.886,100.0,3.886
369,20.886,100.0,3.886
370,20.817,100.0,3.817
371,20.817,100.0,3.817
372,20.451,100.0,3.451
373,21.154,100.0,4.154
374,20.886,100.0,3.886
375,20.817,100.0,3.817
376,20.451,100.0,3.451
377,20.451,100.0,3.451
378,20.678,100.0,3.678
379,20.538,100.0,3.538
380,20.972,100.0,3.972
381,20.538,100.0,3.538
382,20.608,100.0,3.608
383,20.678,100.0,3.678
384,21.518,100.0,4.518
385,21.427,100.0,4.427
386,20.817,100.0,3.817
387,20.451,100.0,3.451
388,20.817,100.0,3.817
389,20.748,100.0,3.748
390,20.274,100.0,3.274
391,20.006,99.2,3.006
392,20.817,100.0,3.817
393,20.678,100.0,3.678
394,21.245,100.0,4.245
395,19.918,99.1,2.918
396,20.817,100.0,3.817
397,20.748,100.0,3.748
398,20.748,100.0,3.748
399,21.154,100.0,4.154
400,20.608,100.0,3.608
401,20.678,100.0,3.678
402,20.538,100.0,3.538
403,20.538,100.0,3.538
404,20.817,100.0,3.817
405,21.245,100.0,4.245
406,20.748,100.0,3.748
407,21.062,100.0,4.062
408,20.748,100.0,3.748
409,20.451,100.0,3.451
410,20.748,100.0,3.748
411,20.886,100.0,3.886
412,20.095,100.0,3.095
413,20.972,100.0,3.972
414,20.972,100.0,3.972
415,21.336,100.0,4.336
416,20.678,100.0,3.678
417,20.748,100.0,3.748
418,20.678,100.0,3.678
419,20.274,100.0,3.274
420,20.886,100.0,3.886
421,20.678,100.0,3.678
422,21.245,100.0,4.245
423,20.817,100.0,3.817
424,20.817,100.0,3.817
425,20.886,100.0,3.886
426,20.678,100.0,3.678
427,20.972,100.0,3.972
428,20.538,100.0,3.538
429,20.886,100.0,3.886
430,20.678,100.0,3.678
431,20.972,100.0,3.972
432,20.817,100.0,3.817
433,20.362,100.0,3.362
434,21.846,100.0,4.846
435,20.608,100.0,3.608
436,20.678,100.0,3.678
437,20.817,100.0,3.817
438,20.748,100.0,3.748
439,21.062,100.0,4.062
440,20.274,100.0,3.274
441,20.678,100.0,3.678
442,20.748,100.0,3.748
443,21.154,100.0,4.154
444,20.608,100.0,3.608
445,21.336,100.0,4.336
446,20.608,100.0,3.608
447,20.817,100.0,3.817
448,20.451,100.0,3.451
449,20.972,100.0,3.972
450,20.608,100.0,3.608
451,20.748,100.0,3.748
452,21.154,100.0,4.154
453,20.886,100.0,3.886
454,20.817,100.0,3.817
455,20.678,100.0,3.678
456,20.451,100.0,3.451
457,20.451,100.0,3.451
458,21.062,100.0,4.062
459,20.748,100.0,3.748
460,20.886,100.0,3.886
461,20.678,100.0,3.678
462,20.886,100.0,3.886
463,20.972,100.0,3.972
464,20.678,100.0,3.678
465,20.817,100.0,3.817
466,20.451,100.0,3.451
467,20.678,100.0,3.678
468,20.362,100.0,3.362
469,20.608,100.0,3.608
470,20.886,100.0,3.886
471,20.095,100.0,3.095
472,20.362,100.0,3.362
473,20.748,100.0,3.748
474,20.817,100.0,3.817
475,21.245,100.0,4.245
476,20.538,100.0,3.538
477,20.608,100.0,3.608
478,20.185,100.0,3.185
479,20.678,100.0,3.678
480,20.274,100.0,3.274
481,20.451,100.0,3.451
482,20.185,100.0,3.185
483,20.678,100.0,3.678
484,21.154,100.0,4.154
485,19.918,99.7,2.918
486,20.748,100.0,3.748
487,20.678,100.0,3.678
488,20.678,100.0,3.678
489,21.427,100.0,4.427
490,20.678,100.0,3.678
491,20.538,100.0,3.538
492,20.748,100.0,3.748
493,20.817,100.0,3.817
494,20.451,100.0,3.451
495,20.451,100.0,3.451
496,20.185,100.0,3.185
497,20.817,100.0,3.817
498,20.886,100.0,3.886
499,20.678,100.0,3.678
500,20.362,100.0,3.362
501,21.154,100.0,4.154
502,20.451,100.0,3.451
503,20.185,100.0,3.185
504,20.817,100.0,3.817
505,20.608,100.0,3.608
506,20.972,100.0,3.972
507,20.538,100.0,3.538
508,20.748,100.0,3.748
509,21.608,100.0,4.608
510,20.274,100.0,3.274
511,20.538,100.0,3.538
512,20.886,100.0,3.886
513,20.451,100.0,3.451
514,20.538,100.0,3.538
515,20.817,100.0,3.817
516,20.748,100.0,3.748
517,20.678,100.0,3.678
518,20.538,100.0,3.538
519,20.678,100.0,3.678
520,20.608,100.0,3.608
521,20.817,100.0,3.817
522,20.608,100.0,3.608
523,20.817,100.0,3.817
524,20.886,100.0,3.886
525,21.245,100.0,4.245
526,20.274,100.0,3.274
527,21.062,100.0,4.062
