timestamp_ms,temp1_C,temp2_C
12321,25.044698,24.12458
13334,25.167182,24.12458
14350,25.289022,24.12458
15370,25.341046,24.215054
16432,25.39295,24.12458
17452,25.39295,25.106022
18472,25.770054,26.375116
19492,26.737442,27.559012
20541,27.467686,28.073556
21563,28.104744,28.073556
22583,28.69002,27.83095
23603,29.304846,27.740642
24623,29.490564,27.559012
25643,29.766648,27.376014
26664,30.13718,27.283996
27684,30.326694,27.098916
28704,30.514866,27.005854
29724,30.608452,26.916538
30744,30.701708,26.737442
31765,30.887238,26.617282
32785,30.887238,26.496514
33815,31.170238,26.496514
34845,31.170238,26.283664
35875,31.297238,26.375116
36906,31.42365,26.191858
37936,31.549482,26.375116
38966,31.643468,26.283664
39996,31.7371332,26.737442
41026,31.643468,26.827162
42057,31.830472,27.191632
43087,31.830472,27.283996
44117,31.923492,27.283996
45147,31.923492,27.283996
46177,32.04949,27.740642
47870,31.923492,27.65
48898,31.830472,27.83095
49918,31.643468,27.83095
50938,31.549482,27.950834
51968,31.297238,27.83095
52989,31.074594,27.83095
54019,30.979516,28.073556
55049,30.794638,27.950834
56079,30.701708,28.073556
57109,30.514866,28.073556
58150,30.326694,28.198068
59179,30.13718,28.198068
60210,30.04192,28.198068
61240,29.858018,28.272478
62270,29.766648,28.272478
63300,29.766648,28.346674
64331,29.582926,28.346674
65361,29.39787,28.346674
66391,29.304846,28.346674
67421,29.117772,28.346674
68451,29.023722,28.272478
69482,28.811506,28.420642
70512,28.567936,28.4944
71542,28.811506,29.39787
72572,28.69002,29.39787
73602,28.567936,29.582926
74632,28.475978,29.797142
75663,28.383686,29.797142
76693,28.29105,29.797142
77723,28.104744,29.674952
78753,28.104744,30.04192
79783,28.104744,29.9187468
80813,28.011074,30.13718
81844,27.83095,30.13718
82874,27.83095,30.326694
83904,27.83095,30.232108
84934,28.011074,30.13718
85964,28.383686,29.674952
86995,28.69002,29.582926
88025,29.39787,29.211478
89055,29.582926,29.490564
90085,29.949056,29.582926
91125,30.232108,30.13718
92165,30.608452,30.514866
93206,30.794638,30.326694
94246,31.074594,29.9187468
95286,31.297238,30.232108
96326,31.643468,30.420948
97366,31.830472,30.514866
98407,32.178924,30.514866
99447,32.178924,30.514866
100487,32.4616,30.420948
101527,32.690792,30.608452
102568,35.5170836,33.46113
103607,35.812904,33.26707
105371,35.61601,33.0717
106408,35.812904,33.015636
107438,35.5170836,32.85335
108479,35.61601,32.404016
109519,35.61601,32.017044
110559,35.61601,31.674726
111599,35.61601,31.549482
112668,35.812904,31.265544
113710,35.61601,31.074594
114779,35.31827,30.887238
115830,30.514866,26.099696
116879,30.326694,26.007178
117929,30.04192,25.829482
118980,30.326694,26.191858
120030,30.514866,25.918332
121109,30.979516,26.617282
122160,31.42365,26.496514
123211,30.514866,26.375116
124261,30.794638,26.375116
125311,30.420948,26.099696
126361,30.13718,26.099696
127411,29.949056,25.740282
128462,30.232108,25.650736
129512,29.949056,25.740282
130563,30.13718,25.650736
131612,29.39787,25.590846
132662,29.858018,25.53079
133713,29.39787,25.410228
134763,29.674952,25.470586
135813,29.39787,25.470586
136874,29.39787,25.470586
137952,28.383686,25.470586
139003,28.932404,25.470586
140054,28.383686,25.470586
141104,27.92092,25.410228
142154,28.198068,25.470586
143205,28.011074,25.410228
144255,27.005854,25.410228
145304,27.613646,25.349702
146356,27.222462,25.349702
147416,26.916538,25.289022
148475,27.222462,25.289022
149525,26.916538,25.289022
150576,26.375116,25.289022
151637,26.617282,25.197702
152696,26.155036,25.197702
153757,26.155036,25.197702
154817,26.155036,25.106022
155877,26.301984,25.106022
156937,25.650736,25.106022
157998,25.650736,25.013978
159086,25.599408,24.925926
160176,25.341046,24.925926
161238,25.289022,24.925926
162297,24.715044,24.925926
164071,24.715044,24.838302
165128,24.33512,24.838302
166178,24.33512,24.838302
167228,24.12458,24.838302
168289,23.8541868,24.750332
169350,23.583222,24.750332
170409,23.8541868,24.750332
171470,23.3701632,24.750332
172568,22.70047,24.750332
173659,22.70047,24.750332
174721,23.124146,24.750332
175781,22.77,24.750332
176841,22.4904684,24.662008
177902,22.420002,24.662008
178921,22.302026,24.662008
179941,22.302026,24.662008
180961,21.797192,24.573332
181982,21.797192,24.573332
183002,21.886104,24.662008
184022,21.886104,24.573332
185042,22.183378,24.573332
186091,22.183378,24.4843
187142,21.707892,24.4843
188163,21.528148,24.4843
189183,21.886104,24.4843
190203,20.894952,24.4843
191223,21.12723,24.4843
192273,21.2006936,24.4843
193323,21.12723,24.4843
194344,21.2739016,24.4843
195364,21.2006936,24.394912
196384,21.12723,24.4843
197405,20.981028,24.394912
198425,20.546852,24.394912
199445,20.808494,24.394912
200465,20.6344492,24.305166
201485,20.981028,24.305166
202506,20.721664,24.305166
203536,20.546852,24.305166
204566,20.281736,24.305166
205596,20.546852,24.305166
206626,20.281736,24.305166
207657,20.6344492,24.305166
208687,20.370496,24.305166
209717,19.572784,24.305166
210747,19.572784,24.305166
211778,20.10303,24.305166
212808,20.370496,24.305166
213838,20.546852,24.215054
214868,20.721664,24.215054
215907,20.894952,24.12458
216939,20.808494,24.033738
217969,21.2006936,24.12458
218999,21.346854,24.12458
220029,21.437696,24.033738
221791,21.707892,24.12458
222848,22.064068,24.12458
223870,22.183378,24.12458
224900,22.420002,24.215054
225930,22.4904684,24.12458
226960,22.420002,24.215054
227990,22.6307024,24.215054
229021,22.70047,24.12458
230051,22.064068,24.215054
231081,22.77,24.215054
232111,23.0311884,24.305166
233141,23.247492,24.305166
234172,23.3701632,24.305166
235231,23.49216,24.305166
236301,23.583222,24.305166
237332,23.673912,24.305166
238362,23.673912,24.305166
239393,23.764232,24.394912
240423,23.764232,24.305166
241453,23.3701632,24.394912
242512,23.49216,24.394912
