time_ms,ch0
104,1276
615,1276
1127,1270
1612,1270
2123,1269
2634,1269
3145,1272
3631,1273
4142,1276
4653,1277
5164,1280
5650,1278
6161,1278
6672,1277
7183,1277
7669,1276
8180,1279
8691,1279
9202,1282
9688,1283
10199,1282
10710,1283
11221,1279
11707,1278
12218,1279
12729,1282
13240,1281
13726,1286
14237,1286
14748,1280
15259,1282
15745,1283
16256,1282
16767,1279
17278,1280
17764,1281
18275,1279
18786,1279
19297,1277
19783,1276
20294,1277
20805,1276
21316,1276
21802,1279
22313,1281
22824,1282
23309,1280
23820,1281
24332,1279
24843,1282
25328,1283
25839,1283
26350,1282
