time_ms,ch0
103,1655
615,1655
1126,1655
1611,1655
2122,1655
2634,1652
3145,1651
3656,1651
4141,1655
4653,1651
5164,1651
5675,1652
6160,1655
6671,1655
7183,1655
7694,1655
8179,1655
8690,1651
9202,1650
9713,1648
10198,1649
10709,1649
11220,1650
11731,1650
12217,1649
12728,1649
13239,1651
13750,1651
14236,1650
14747,1649
15258,1648
15769,1645
16255,1645
16766,1645
17277,1648
17788,1647
18274,1645
18785,1645
19296,1645
19807,1645
20293,1645
20804,1640
21315,1641
21826,1639
22312,1642
22823,1645
23334,1642
23845,1645
24331,1642
24842,1642
25353,1645
25864,1642
26349,1643
26862,1640
27373,1640
27884,1640
28370,1640
28881,1641
29392,1640
29903,1640
30389,1645
30900,1646
31411,1645
31922,1645
32408,1645
32919,1642
33430,1645
33941,1645
34427,1646
34938,1647
35449,1647
