time_ms,ch0
104,1342
615,1346
1126,1351
1612,1351
2123,1353
2634,1351
3145,1348
3631,1352
4142,1349
4653,1348
5164,1350
5650,1352
6161,1351
6672,1351
7183,1356
7669,1358
8180,1360
8691,1359
9202,1359
9713,1361
10199,1358
10710,1360
11221,1358
11732,1356
12218,1356
12729,1356
13240,1352
13751,1352
14237,1351
14748,1356
15259,1352
15770,1351
16256,1349
16767,1348
17278,1348
17789,1349
18275,1351
18786,1350
19297,1349
19808,1347
20293,1337
20804,1346
21316,1346
21827,1350
22312,1352
22823,1352
23334,1349
23846,1356
24331,1356
24842,1356
25353,1356
25864,1356
26350,1356
26863,1357
27374,1359
27885,1358
28371,1360
28882,1365
29393,1366
29904,1364
30390,1360
30901,1366
31412,1365
31923,1363
32408,1351
32920,1335
33431,1311
33942,1392
34427,1398
34938,1367
35450,1367
35961,1351
36446,1376
36957,1383
37468,1043
37979,1299
38465,1226
38976,1209
39487,1206
39998,1260
40484,1239
40995,1217
41506,1297
41992,1311
42503,1326
43014,1329
43525,1326
44011,1326
44522,1331
45033,1330
45544,1322
46030,1326
46541,1326
47052,1321
47563,1325
48049,1320
48560,1306
49071,1300
49582,1326
50067,1318
50579,1327
51090,1337
51601,1336
52086,1312
52597,1261
53109,1260
53620,1308
54107,1317
54618,1320
55130,1320
55615,1320
56126,1326
56637,1322
57148,1326
57634,1320
58145,1327
58656,1327
59167,1326
59653,1327
60164,1326
60675,1327
61186,1330
61672,1332
62183,1333
62694,1336
63205,1336
