time_ms,ch0
104,1399
615,1401
1126,1402
1612,1403
2123,1407
2634,1407
3145,1406
3656,1406
4142,1406
4653,1407
5164,1406
5675,1406
6161,1406
6672,1405
7183,1402
7694,1406
8180,1406
8691,1406
9202,1406
9713,1406
10199,1403
10710,1402
11221,1403
11732,1402
12218,1401
12729,1402
13240,1402
13751,1401
14236,1400
14747,1401
15259,1398
15770,1398
16281,1398
16766,1399
17278,1399
17789,1398
18300,1399
18785,1398
19296,1398
19807,1398
20319,1396
20804,1396
21315,1396
21826,1396
22337,1396
22823,1393
23334,1396
23845,1397
24356,1398
24842,1400
25353,1400
25864,1399
26375,1400
26862,1397
27374,1398
27885,1398
28396,1396
28881,1396
29392,1396
