time_ms,ch0
104,1397
615,1398
1126,1397
1612,1399
2123,1406
2634,1403
3145,1398
3656,1397
4142,1399
4653,1398
5164,1402
5675,1396
6161,1399
6672,1400
7183,1396
7694,1396
8180,1393
8691,1396
9202,1398
9713,1401
10199,1402
10710,1398
11221,1390
11732,1396
12218,1396
12729,1396
13240,1396
13751,1396
14237,1396
14748,1396
15259,1393
15770,1391
16255,1389
16767,1387
17278,1387
17789,1389
18274,1386
18785,1386
19297,1393
19808,1391
20293,1389
20804,1393
21315,1392
21827,1396
22312,1397
22823,1393
23334,1392
23845,1395
24331,1396
24842,1399
25353,1399
25864,1400
26350,1396
26863,1398
27374,1396
27885,1396
28370,1390
28882,1389
29393,1396
29904,1396
30389,1391
30900,1393
31412,1397
31923,1396
32408,1396
32919,1391
33430,1387
33942,1388
34427,1388
34938,1393
