time_ms,ch0
103,1308
615,1316
1126,1311
1612,1312
2123,1316
2634,1316
3145,1316
3631,1316
4142,1317
4653,1316
5164,1317
5649,1318
6161,1320
6672,1320
7183,1319
7668,1318
8179,1320
8691,1318
9202,1320
9687,1318
10198,1316
10709,1315
11220,1313
11706,1311
12217,1309
12728,1316
13239,1311
13725,1312
14236,1316
14747,1313
15258,1311
15744,1312
16255,1309
16766,1307
17277,1317
17763,1312
18274,1318
18785,1319
19271,1321
19782,1316
20293,1316
20804,1317
21289,1316
21801,1317
22312,1318
22823,1316
23308,1317
23819,1318
24331,1316
24842,1319
25327,1318
25838,1313
26349,1312
26862,1313
27348,1316
27859,1316
28370,1316
28881,1316
29367,1316
29878,1316
30389,1316
30900,1316
31385,1308
31896,1303
32408,1311
32893,1309
33404,1310
33915,1310
34426,1303
34912,1306
35423,1306
35934,1312
36445,1309
36931,1316
37442,1311
37953,1311
38464,1313
38950,1309
39461,1306
39972,1312
40483,1311
40969,1308
41480,1300
41991,1307
42502,1300
42988,1296
43499,1293
44010,1301
44521,1307
45006,1303
45518,1302
46029,1306
46540,1302
47025,1298
47536,1276
48048,1276
48559,1252
49044,1244
49555,1286
